Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
743,746,5,2017-01-02,2017-01-12
743,1031,3,2017-01-04,2017-01-12
747,760,5,2017-01-02,2017-01-12
747,797,5,2017-01-02,2017-01-12
749,785,5,2017-01-02,2017-01-12
759,792,6,2017-01-02,2017-01-17
763,1043,3,2017-01-04,2017-01-12
766,778,5,2017-01-02,2017-01-12
769,779,4,2017-01-02,2017-02-17
769,783,3,2017-01-02,2017-01-08
772,2175,3,2017-01-23,2017-01-31
792,1031,5,2017-01-04,2017-02-19
798,1048,3,2017-01-08,2017-02-19
811,5156,3,2017-02-17,2017-02-27
827,844,3,2017-01-02,2017-01-27
843,868,4,2017-01-02,2017-02-16
848,870,3,2017-01-02,2017-01-27
901,945,3,2017-01-02,2017-02-04
901,2857,3,2017-02-04,2017-02-10
910,4329,3,2017-02-20,2017-02-25
912,3589,3,2017-02-13,2017-02-21
928,2511,5,2017-02-04,2017-03-01
933,1391,5,2017-01-25,2017-02-26
959,980,3,2017-01-02,2017-02-15
972,2407,4,2017-02-13,2017-02-23
993,4071,3,2017-02-20,2017-02-25
1001,2152,3,2017-01-23,2017-01-31
1011,1020,3,2017-01-02,2017-01-08
1011,1097,3,2017-01-02,2017-01-08
1014,3941,3,2017-01-22,2017-02-03
1024,3949,3,2017-01-22,2017-02-23
1025,1095,5,2017-01-02,2017-01-12
1026,3428,3,2017-02-17,2017-02-23
1056,3447,5,2017-01-17,2017-02-23
1062,1232,3,2017-01-04,2017-01-24
1082,4359,3,2017-02-20,2017-02-25
1087,1240,4,2017-01-04,2017-02-14
1108,1111,3,2017-01-03,2017-02-05
1149,1154,4,2017-01-03,2017-02-10
1208,1232,3,2017-01-03,2017-01-21
1223,1561,4,2017-01-13,2017-02-03
1229,1269,3,2017-01-03,2017-01-13
1233,1241,3,2017-01-03,2017-02-01
1236,3988,3,2017-01-22,2017-02-23
1239,1273,3,2017-01-03,2017-01-10
1241,1284,3,2017-01-03,2017-02-01
1248,2968,4,2017-02-04,2017-02-26
1250,2886,3,2017-01-22,2017-02-15
1300,2567,4,2017-01-21,2017-02-03
1310,2867,3,2017-02-04,2017-02-10
1314,4059,4,2017-02-07,2017-03-01
1321,2325,4,2017-02-13,2017-02-23
1328,1365,3,2017-01-03,2017-02-15
1330,2284,3,2017-02-13,2017-02-21
1330,2935,3,2017-02-13,2017-02-21
1332,4084,3,2017-02-20,2017-02-25
1337,1369,5,2017-01-03,2017-02-10
1354,2992,3,2017-01-25,2017-02-20
1432,1465,5,2017-01-04,2017-02-10
1432,2939,3,2017-02-04,2017-02-10
1437,1722,3,2017-02-12,2017-02-24
1456,1827,4,2017-01-20,2017-02-28
1464,4025,4,2017-02-07,2017-03-01
1479,4656,3,2017-02-07,2017-02-28
1489,2701,3,2017-01-20,2017-02-13
1501,1550,3,2017-01-07,2017-01-25
1506,2563,3,2017-01-26,2017-02-28
1506,3904,4,2017-01-22,2017-02-28
1527,1533,3,2017-01-07,2017-02-23
1544,3978,3,2017-01-22,2017-02-03
1581,3933,4,2017-01-22,2017-02-27
1587,3974,3,2017-01-22,2017-02-03
1598,2567,4,2017-01-26,2017-02-11
1613,1617,3,2017-01-07,2017-02-28
1619,1682,3,2017-01-07,2017-01-24
1626,1688,3,2017-01-07,2017-02-19
1673,3169,3,2017-01-24,2017-02-03
1708,1736,3,2017-01-08,2017-02-19
1744,4197,3,2017-02-15,2017-03-01
1807,1883,4,2017-01-08,2017-02-13
1828,2793,4,2017-01-20,2017-02-28
1846,1872,3,2017-01-08,2017-02-26
1867,4655,3,2017-02-07,2017-02-28
1870,1881,3,2017-01-08,2017-02-18
1878,2781,3,2017-01-20,2017-02-27
1901,1904,3,2017-01-08,2017-01-14
1901,1948,3,2017-01-08,2017-01-14
1903,1916,3,2017-01-08,2017-01-14
1904,1959,3,2017-01-08,2017-01-14
1906,1927,3,2017-01-08,2017-01-14
1908,1952,3,2017-01-08,2017-01-14
1910,1935,3,2017-01-08,2017-01-14
1910,1946,3,2017-01-08,2017-01-14
1910,1972,3,2017-01-08,2017-01-14
1911,1930,3,2017-01-08,2017-01-14
1912,1947,3,2017-01-08,2017-01-14
1913,1978,3,2017-01-08,2017-01-14
1918,3295,3,2017-02-06,2017-02-27
1920,1963,3,2017-01-08,2017-01-14
1921,1958,3,2017-01-08,2017-01-14
1922,1935,3,2017-01-08,2017-01-14
1922,1973,4,2017-01-08,2017-02-13
1931,1965,3,2017-01-08,2017-01-14
1933,1941,4,2017-01-08,2017-02-13
1935,1994,3,2017-01-08,2017-01-14
1943,1996,3,2017-01-08,2017-01-14
1945,1984,3,2017-01-08,2017-01-14
1947,1978,3,2017-01-08,2017-01-14
1950,1978,3,2017-01-08,2017-01-14
1950,1990,3,2017-01-08,2017-01-14
1958,1992,3,2017-01-08,2017-01-14
1964,1970,3,2017-01-08,2017-01-14
1964,2000,3,2017-01-08,2017-01-14
1969,1982,3,2017-01-08,2017-01-14
1970,1981,3,2017-01-08,2017-01-14
1970,1997,3,2017-01-08,2017-01-14
1980,1995,3,2017-01-08,2017-01-14
1982,1992,3,2017-01-08,2017-01-14
1993,3367,3,2017-02-06,2017-02-23
2103,2200,3,2017-01-09,2017-01-25
2106,2147,3,2017-01-09,2017-01-20
2108,2149,3,2017-01-09,2017-01-25
2109,2155,4,2017-01-09,2017-01-17
2113,2161,3,2017-01-09,2017-01-25
2114,2140,4,2017-01-09,2017-01-17
2114,2154,4,2017-01-09,2017-01-17
2116,2182,4,2017-01-09,2017-01-17
2117,2166,3,2017-01-09,2017-01-25
2119,2165,4,2017-01-09,2017-01-17
2119,2182,4,2017-01-09,2017-01-17
2126,2141,4,2017-01-09,2017-01-17
2127,2177,3,2017-01-09,2017-01-25
2142,2188,4,2017-01-09,2017-01-17
2149,2157,3,2017-01-09,2017-01-25
2197,3122,4,2017-01-20,2017-01-31
2197,3475,3,2017-01-23,2017-01-31
2199,3154,3,2017-01-20,2017-01-29
2212,3509,5,2017-01-28,2017-02-26
2213,2285,3,2017-01-09,2017-01-22
2216,2244,3,2017-01-09,2017-01-22
2221,3547,5,2017-01-28,2017-02-23
2221,3639,4,2017-02-13,2017-02-23
2222,2264,3,2017-01-09,2017-01-28
2222,2458,4,2017-02-13,2017-02-23
2225,2276,4,2017-01-09,2017-02-13
2230,2250,3,2017-01-09,2017-01-22
2232,2265,3,2017-01-09,2017-01-22
2233,3579,3,2017-01-22,2017-02-11
2241,2288,4,2017-01-09,2017-02-13
2246,2674,3,2017-02-10,2017-02-17
2249,2291,4,2017-01-09,2017-02-13
2254,2268,3,2017-01-09,2017-01-28
2271,2287,3,2017-01-09,2017-01-28
2273,3578,4,2017-01-28,2017-02-21
2274,2280,3,2017-01-09,2017-01-22
2297,2300,3,2017-01-09,2017-01-28
2315,2910,3,2017-02-13,2017-02-21
2407,2963,3,2017-02-13,2017-02-21
2410,2497,3,2017-01-09,2017-01-29
2412,2492,3,2017-01-09,2017-01-29
2421,2487,3,2017-01-09,2017-02-23
2424,2455,3,2017-01-09,2017-02-23
2430,2447,4,2017-01-09,2017-02-13
2435,2488,3,2017-01-09,2017-02-22
2446,2475,3,2017-01-09,2017-02-06
2450,2469,3,2017-01-09,2017-01-29
2509,4655,3,2017-02-04,2017-02-27
2510,3104,4,2017-01-21,2017-02-03
2568,3104,4,2017-01-21,2017-02-03
2607,2659,3,2017-01-10,2017-02-23
2626,2650,3,2017-01-10,2017-01-25
2643,2656,3,2017-01-10,2017-01-25
2655,3980,3,2017-01-22,2017-02-03
2674,3989,3,2017-01-22,2017-02-03
2699,4469,3,2017-02-10,2017-02-17
2743,2758,3,2017-01-10,2017-02-04
2743,4020,3,2017-02-20,2017-02-25
2769,2789,3,2017-01-10,2017-02-04
2783,4353,4,2017-02-07,2017-03-01
2789,4353,4,2017-02-07,2017-03-01
2809,2868,3,2017-01-10,2017-01-24
2869,2879,4,2017-01-10,2017-02-15
2886,3041,3,2017-01-22,2017-02-15
2908,2944,3,2017-01-10,2017-02-15
2910,3589,3,2017-02-13,2017-02-21
2932,2963,4,2017-01-10,2017-02-21
2988,2992,6,2017-01-10,2017-02-25
2996,3577,3,2017-02-13,2017-02-21
3005,3059,3,2017-01-10,2017-01-22
3019,3801,3,2017-02-02,2017-02-27
3041,3093,5,2017-01-10,2017-02-15
3063,3078,3,2017-01-10,2017-01-22
3122,3198,5,2017-01-11,2017-01-31
3123,3146,6,2017-01-11,2017-02-03
3135,3168,3,2017-01-11,2017-01-17
3135,4319,3,2017-02-06,2017-02-27
3137,3157,4,2017-01-11,2017-01-21
3148,3153,3,2017-01-11,2017-01-17
3333,3368,3,2017-01-13,2017-02-13
3357,3371,3,2017-01-13,2017-02-13
3380,3399,5,2017-01-13,2017-02-23
3401,3435,3,2017-01-13,2017-02-19
3410,3439,4,2017-01-13,2017-01-29
3425,3489,3,2017-01-13,2017-02-19
3436,3439,4,2017-01-13,2017-01-29
3464,3473,4,2017-01-13,2017-02-28
3507,3545,3,2017-01-15,2017-02-13
3518,4465,3,2017-02-10,2017-02-26
3525,3570,3,2017-01-15,2017-02-13
3539,3560,3,2017-01-15,2017-02-13
3540,3603,4,2017-02-13,2017-02-26
3552,3579,5,2017-01-15,2017-02-26
3560,3595,3,2017-01-15,2017-02-13
3561,4466,3,2017-02-10,2017-02-17
3570,3592,3,2017-01-15,2017-02-13
3585,3597,3,2017-01-15,2017-02-13
3600,4499,3,2017-02-10,2017-02-17
3644,3646,3,2017-01-15,2017-02-27
3702,3791,5,2017-01-19,2017-03-01
3729,3775,4,2017-01-19,2017-02-19
3787,5154,3,2017-02-16,2017-03-01
3802,3849,4,2017-01-19,2017-02-27
3828,3871,3,2017-01-19,2017-02-14
3847,3854,3,2017-01-19,2017-02-14
3902,3949,4,2017-01-19,2017-02-23
3924,3941,4,2017-01-19,2017-02-03
3939,3945,4,2017-01-19,2017-02-23
4008,4038,3,2017-01-20,2017-01-29
4014,4031,4,2017-01-20,2017-02-19
4017,4025,6,2017-01-20,2017-03-01
4019,4092,4,2017-01-20,2017-02-23
4025,4373,5,2017-01-31,2017-03-01
4035,4066,4,2017-01-20,2017-02-10
4043,4045,3,2017-01-20,2017-01-29
4078,4339,3,2017-01-31,2017-02-10
4087,4344,3,2017-01-31,2017-02-23
4089,4100,3,2017-01-20,2017-01-29
4130,4141,3,2017-01-20,2017-02-10
4141,4194,3,2017-01-20,2017-02-10
4201,4208,3,2017-01-22,2017-02-24
4201,4215,3,2017-01-22,2017-02-24
4215,4230,3,2017-01-22,2017-02-24
4217,4297,3,2017-01-22,2017-02-24
4227,4233,3,2017-01-22,2017-02-24
4283,4288,3,2017-01-22,2017-02-24
4301,4392,3,2017-01-24,2017-02-20
4307,4316,3,2017-01-24,2017-01-31
4320,4384,3,2017-01-24,2017-02-20
4329,4382,3,2017-01-24,2017-02-20
4336,4373,4,2017-01-24,2017-02-10
4338,4355,3,2017-01-24,2017-01-29
4343,4365,3,2017-01-24,2017-01-29
4343,4370,3,2017-01-24,2017-01-29
4352,4384,3,2017-01-24,2017-02-20
4397,4400,3,2017-01-24,2017-01-29
4464,4484,4,2017-01-29,2017-02-26
4516,5313,3,2017-02-14,2017-02-24
4564,4574,3,2017-01-29,2017-02-15
4615,4674,3,2017-02-02,2017-02-07
4633,4685,4,2017-02-02,2017-02-13
4662,4691,3,2017-02-02,2017-02-19
4903,4977,3,2017-02-09,2017-02-28
4905,4932,3,2017-02-09,2017-02-28
4915,4941,3,2017-02-09,2017-02-28
4932,4983,3,2017-02-09,2017-02-28
4946,4998,3,2017-02-09,2017-02-28
5027,5066,3,2017-02-12,2017-02-24
5106,5196,3,2017-02-12,2017-02-19
5110,5161,3,2017-02-12,2017-02-19
5146,5154,4,2017-02-12,2017-03-01
5146,5191,4,2017-02-12,2017-03-01
5310,5315,3,2017-02-13,2017-02-18
5376,5383,3,2017-02-13,2017-02-27
5379,5393,3,2017-02-13,2017-02-27
5409,5459,3,2017-02-17,2017-03-01
5409,5496,3,2017-02-17,2017-03-01
5414,5456,3,2017-02-17,2017-03-01
5420,5446,3,2017-02-17,2017-03-01
5423,5477,3,2017-02-17,2017-03-01
5439,5483,3,2017-02-17,2017-03-01
5448,5478,3,2017-02-17,2017-03-01
5478,5498,3,2017-02-17,2017-03-01
141,2963,4,2017-02-13,2017-02-26
208,271,3,2017-01-01,2017-01-17
211,223,4,2017-01-01,2017-02-26
212,688,3,2017-01-13,2017-01-24
215,3132,3,2017-01-13,2017-01-21
217,689,3,2017-01-15,2017-02-13
218,690,4,2017-01-20,2017-01-31
223,248,3,2017-01-01,2017-01-17
230,3145,4,2017-01-13,2017-01-24
231,3116,4,2017-01-13,2017-01-24
232,255,4,2017-01-01,2017-01-21
234,607,3,2017-01-13,2017-02-01
240,3106,3,2017-01-25,2017-02-10
248,440,3,2017-01-24,2017-02-03
248,611,4,2017-01-13,2017-01-24
248,646,3,2017-01-13,2017-01-21
255,440,4,2017-01-24,2017-02-10
255,2539,4,2017-01-21,2017-02-03
267,284,3,2017-01-01,2017-01-17
275,3112,3,2017-01-13,2017-01-21
286,3167,4,2017-01-20,2017-01-31
286,3491,3,2017-01-23,2017-01-31
293,1569,3,2017-01-26,2017-02-28
295,2197,4,2017-01-20,2017-01-31
299,650,6,2017-01-13,2017-02-03
299,3162,5,2017-01-13,2017-02-03
305,724,3,2017-01-04,2017-01-12
313,771,3,2017-01-04,2017-01-12
323,393,3,2017-01-01,2017-01-08
324,1021,4,2017-01-03,2017-01-12
328,730,4,2017-01-04,2017-01-17
330,368,5,2017-01-01,2017-01-12
334,750,3,2017-01-04,2017-01-12
335,390,3,2017-01-01,2017-01-08
337,393,3,2017-01-01,2017-01-08
348,365,3,2017-01-01,2017-01-08
348,384,3,2017-01-01,2017-01-08
355,727,3,2017-01-04,2017-01-12
364,1001,8,2017-01-03,2017-01-31
365,372,3,2017-01-01,2017-01-08
368,609,3,2017-01-23,2017-01-31
368,2186,3,2017-01-23,2017-01-31
368,3463,3,2017-01-17,2017-01-29
374,768,4,2017-01-04,2017-01-17
376,1013,4,2017-01-03,2017-01-12
378,740,3,2017-01-04,2017-01-12
392,730,5,2017-01-04,2017-02-26
395,1021,4,2017-01-03,2017-01-12
407,915,5,2017-02-04,2017-03-01
407,1391,3,2017-02-04,2017-02-10
425,441,3,2017-01-01,2017-01-24
437,975,3,2017-02-04,2017-02-10
437,2857,4,2017-02-02,2017-02-10
510,585,3,2017-01-02,2017-01-20
515,557,3,2017-01-02,2017-01-20
556,568,4,2017-01-02,2017-02-17
605,692,3,2017-01-02,2017-01-17
611,3162,3,2017-01-13,2017-01-24
628,2178,3,2017-01-20,2017-01-29
641,2183,3,2017-01-20,2017-01-29
649,3198,3,2017-01-20,2017-01-29
655,1056,4,2017-01-23,2017-02-23
655,3154,5,2017-01-20,2017-02-23
659,670,4,2017-01-02,2017-01-21
681,1298,3,2017-01-24,2017-02-03
701,781,5,2017-01-02,2017-01-12
701,1072,3,2017-01-04,2017-01-12
703,727,5,2017-01-02,2017-01-12
706,743,5,2017-01-02,2017-01-12
706,1072,3,2017-01-04,2017-01-12
713,748,3,2017-01-02,2017-01-08
715,735,3,2017-01-02,2017-01-08
716,3475,4,2017-01-17,2017-01-31
719,768,5,2017-01-02,2017-01-12
721,729,5,2017-01-02,2017-01-12
723,796,3,2017-01-02,2017-01-08
724,763,9,2017-01-02,2017-01-31
724,2178,3,2017-01-23,2017-01-31
730,793,5,2017-01-02,2017-01-12
732,790,3,2017-01-02,2017-01-08
734,762,5,2017-01-02,2017-01-12
738,744,3,2017-01-02,2017-01-08
739,1053,6,2017-01-04,2017-01-29
746,755,8,2017-01-02,2017-01-29
747,1001,3,2017-01-04,2017-01-12
747,1021,3,2017-01-04,2017-01-12
750,1013,3,2017-01-04,2017-01-12
752,774,5,2017-01-02,2017-01-12
757,800,3,2017-01-02,2017-01-08
760,763,9,2017-01-02,2017-01-31
768,1035,3,2017-01-04,2017-01-12
772,1043,3,2017-01-04,2017-01-12
774,786,6,2017-01-02,2017-02-17
781,1023,3,2017-01-04,2017-01-12
785,1025,3,2017-01-04,2017-01-12
802,3738,3,2017-01-27,2017-02-19
804,3706,3,2017-01-27,2017-02-19
805,819,4,2017-01-02,2017-02-16
819,870,3,2017-01-02,2017-01-27
823,3428,3,2017-02-17,2017-02-23
827,876,5,2017-01-02,2017-02-19
844,3775,3,2017-01-27,2017-02-19
848,5171,3,2017-02-16,2017-03-01
876,884,3,2017-01-02,2017-01-27
905,975,3,2017-01-02,2017-02-04
912,2223,3,2017-02-13,2017-02-21
916,934,3,2017-01-02,2017-01-25
920,923,4,2017-01-02,2017-02-21
923,2965,4,2017-02-13,2017-02-26
940,2752,3,2017-02-04,2017-02-23
940,4092,3,2017-02-20,2017-02-25
944,991,3,2017-01-02,2017-01-25
946,3571,3,2017-02-13,2017-02-21
957,997,3,2017-01-02,2017-02-15
972,977,5,2017-01-02,2017-02-23
988,3540,3,2017-02-13,2017-02-21
1011,1015,3,2017-01-02,2017-01-08
1014,2298,3,2017-02-10,2017-02-17
1015,1058,3,2017-01-02,2017-01-08
1029,1043,5,2017-01-02,2017-01-12
1043,1095,5,2017-01-02,2017-01-12
1056,3463,3,2017-01-17,2017-01-29
1082,1377,4,2017-02-04,2017-02-25
1095,2183,3,2017-01-23,2017-01-31
1220,3802,3,2017-02-02,2017-02-27
1248,1314,3,2017-02-04,2017-02-10
1273,1279,3,2017-01-03,2017-01-10
1273,3041,3,2017-01-22,2017-02-15
1287,1544,4,2017-01-13,2017-02-03
1302,1381,3,2017-01-03,2017-02-15
1305,1320,3,2017-01-03,2017-02-15
1310,1422,3,2017-02-04,2017-02-10
1313,2293,3,2017-02-13,2017-02-21
1316,1330,3,2017-01-03,2017-02-15
1330,1524,3,2017-02-15,2017-02-23
1332,4040,3,2017-02-20,2017-02-25
1337,4052,4,2017-02-07,2017-03-01
1391,1484,3,2017-02-04,2017-02-10
1391,4029,3,2017-02-07,2017-02-26
1398,3993,3,2017-02-15,2017-02-26
1413,1437,4,2017-01-04,2017-02-24
1414,1442,3,2017-01-04,2017-02-07
1437,1472,4,2017-01-04,2017-02-24
1444,2939,3,2017-02-04,2017-02-10
1464,1844,4,2017-02-02,2017-02-10
1503,3908,3,2017-01-22,2017-02-03
1509,1553,5,2017-01-07,2017-02-23
1524,1561,3,2017-01-07,2017-01-22
1548,1561,3,2017-01-07,2017-02-28
1561,1586,3,2017-01-07,2017-02-28
1581,2699,4,2017-01-13,2017-02-03
1594,1598,3,2017-01-07,2017-01-22
1801,1862,3,2017-01-08,2017-02-19
1821,1842,3,2017-01-08,2017-02-07
1828,1855,3,2017-01-08,2017-02-07
1828,4700,3,2017-02-07,2017-02-28
1836,1855,4,2017-01-08,2017-02-13
1844,2776,4,2017-02-02,2017-02-10
1858,1881,3,2017-01-08,2017-02-18
1889,3059,3,2017-02-11,2017-02-28
1903,1964,3,2017-01-08,2017-01-14
1906,1999,3,2017-01-08,2017-01-14
1907,1944,3,2017-01-08,2017-01-14
1909,1934,3,2017-01-08,2017-01-14
1909,1954,3,2017-01-08,2017-01-14
1912,1923,3,2017-01-08,2017-01-14
1913,1973,4,2017-01-08,2017-02-13
1914,1917,3,2017-01-08,2017-01-14
1914,1963,3,2017-01-08,2017-01-14
1914,3399,3,2017-02-06,2017-02-23
1916,1973,4,2017-01-08,2017-02-13
1916,1980,3,2017-01-08,2017-01-14
1916,1999,3,2017-01-08,2017-01-14
1927,1983,3,2017-01-08,2017-01-14
1935,1999,3,2017-01-08,2017-01-14
1955,1994,3,2017-01-08,2017-01-14
1961,1986,5,2017-01-08,2017-02-19
1972,1992,3,2017-01-08,2017-01-14
1976,1999,4,2017-01-08,2017-02-06
1993,3399,3,2017-02-06,2017-02-23
2111,2160,4,2017-01-09,2017-01-17
2111,2181,4,2017-01-09,2017-01-17
2115,2140,4,2017-01-09,2017-01-17
2115,2142,4,2017-01-09,2017-01-17
2120,2130,4,2017-01-09,2017-01-17
2122,2162,4,2017-01-09,2017-01-17
2122,2187,4,2017-01-09,2017-01-17
2135,2145,4,2017-01-09,2017-01-17
2136,2179,4,2017-01-09,2017-01-17
2141,2145,4,2017-01-09,2017-01-17
2142,2163,4,2017-01-09,2017-01-17
2149,2196,3,2017-01-09,2017-01-25
2153,3444,3,2017-01-23,2017-01-31
2160,2169,4,2017-01-09,2017-01-17
2201,2252,3,2017-01-09,2017-01-22
2202,2214,3,2017-01-09,2017-01-22
2208,2221,3,2017-01-09,2017-01-28
2213,2252,3,2017-01-09,2017-01-22
2219,2283,3,2017-01-09,2017-01-22
2221,2223,6,2017-01-09,2017-02-21
2222,2296,3,2017-01-09,2017-01-28
2239,2249,3,2017-01-09,2017-01-28
2243,2244,5,2017-01-09,2017-02-11
2252,3529,3,2017-01-22,2017-02-11
2253,2292,3,2017-01-09,2017-01-22
2254,2262,3,2017-01-09,2017-01-28
2254,2297,3,2017-01-09,2017-01-28
2255,3547,5,2017-01-28,2017-02-23
2273,2293,6,2017-01-09,2017-02-21
2402,2446,3,2017-01-09,2017-02-06
2412,2485,3,2017-01-09,2017-01-29
2431,2455,3,2017-01-09,2017-02-23
2434,2440,3,2017-01-09,2017-02-06
2465,2475,3,2017-01-09,2017-02-06
2467,3578,4,2017-02-13,2017-02-23
2498,2965,3,2017-02-13,2017-02-21
2498,3620,4,2017-01-29,2017-02-21
2522,2528,3,2017-01-10,2017-01-24
2526,2589,3,2017-01-10,2017-01-24
2527,2547,3,2017-01-10,2017-01-24
2581,2583,3,2017-01-10,2017-02-17
2600,3548,3,2017-02-10,2017-02-17
2626,2679,3,2017-01-10,2017-01-25
2627,2637,3,2017-01-10,2017-02-23
2667,4469,3,2017-02-10,2017-02-17
2674,3940,3,2017-01-22,2017-02-03
2674,4473,3,2017-02-10,2017-02-17
2676,2678,3,2017-01-10,2017-02-23
2712,2769,3,2017-01-10,2017-02-25
2717,2752,3,2017-01-10,2017-02-04
2717,2783,7,2017-01-10,2017-03-01
2728,2792,5,2017-01-10,2017-02-28
2743,3046,5,2017-02-02,2017-02-25
2752,2988,3,2017-02-04,2017-02-23
2758,3152,4,2017-02-02,2017-02-10
2879,3015,3,2017-01-22,2017-02-15
2906,2988,3,2017-01-10,2017-02-04
2918,2955,3,2017-01-10,2017-01-25
2939,4066,4,2017-02-07,2017-03-01
3101,3199,3,2017-01-11,2017-01-17
3104,4466,3,2017-02-10,2017-02-17
3148,3197,3,2017-01-11,2017-01-17
3184,3831,3,2017-02-02,2017-02-18
3184,4522,3,2017-02-02,2017-02-18
3198,3410,3,2017-01-23,2017-01-31
3230,3295,4,2017-01-11,2017-02-27
3308,3373,3,2017-01-13,2017-02-13
3309,3343,3,2017-01-13,2017-02-06
3310,3331,3,2017-01-13,2017-02-13
3311,3384,3,2017-01-13,2017-02-06
3318,3383,3,2017-01-13,2017-02-13
3323,3371,3,2017-01-13,2017-02-13
3364,3383,3,2017-01-13,2017-02-13
3367,3399,5,2017-01-13,2017-02-23
3402,3436,5,2017-01-13,2017-01-31
3408,5122,3,2017-02-17,2017-02-27
3410,3438,4,2017-01-13,2017-01-29
3415,3482,3,2017-01-13,2017-02-22
3442,3752,3,2017-02-17,2017-02-27
3461,3483,5,2017-01-13,2017-01-31
3516,3597,3,2017-01-15,2017-02-13
3532,4411,3,2017-02-10,2017-02-17
3565,4414,3,2017-02-10,2017-02-26
3565,4465,3,2017-02-10,2017-02-26
3622,3659,3,2017-01-15,2017-02-27
3635,3654,6,2017-01-15,2017-02-23
3661,3663,3,2017-01-15,2017-02-13
3748,3786,3,2017-01-19,2017-02-16
3756,3782,3,2017-01-19,2017-02-16
3805,3824,4,2017-01-19,2017-02-18
3887,4590,3,2017-02-02,2017-02-27
4004,4006,3,2017-01-20,2017-01-29
4007,4044,4,2017-01-20,2017-02-10
4008,4041,3,2017-01-20,2017-01-29
4008,4098,3,2017-01-20,2017-01-29
4013,4371,3,2017-01-31,2017-02-10
4016,4332,3,2017-01-31,2017-02-10
4017,4316,5,2017-01-31,2017-03-01
4019,4340,3,2017-01-31,2017-02-23
4036,4041,3,2017-01-20,2017-01-29
4046,4361,5,2017-01-28,2017-02-25
4050,4061,3,2017-01-20,2017-02-20
4052,4060,4,2017-01-20,2017-02-10
4087,4359,3,2017-01-31,2017-02-23
4089,4319,3,2017-01-28,2017-02-06
4223,4254,3,2017-01-22,2017-02-24
4230,4248,3,2017-01-22,2017-02-24
4230,4297,3,2017-01-22,2017-02-24
4302,4383,3,2017-01-24,2017-01-29
4314,4343,3,2017-01-24,2017-01-29
4319,4334,3,2017-01-24,2017-01-29
4325,4327,3,2017-01-24,2017-01-29
4328,4375,3,2017-01-24,2017-01-29
4331,4384,5,2017-01-24,2017-02-25
4338,4400,3,2017-01-24,2017-01-29
4465,4484,4,2017-01-29,2017-02-26
4607,4617,4,2017-02-02,2017-02-27
4614,4685,3,2017-02-02,2017-02-07
4615,4665,3,2017-02-02,2017-02-07
4643,4672,4,2017-02-02,2017-02-13
4917,4988,3,2017-02-09,2017-02-28
4969,4977,3,2017-02-09,2017-02-28
5060,5075,3,2017-02-12,2017-02-24
5331,5361,3,2017-02-13,2017-02-27
5343,5368,3,2017-02-13,2017-02-27
5366,5397,3,2017-02-13,2017-02-27
5402,5496,3,2017-02-17,2017-03-01
5404,5426,3,2017-02-17,2017-03-01
5404,5486,3,2017-02-17,2017-03-01
5414,5459,3,2017-02-17,2017-03-01
5416,5458,3,2017-02-17,2017-03-01
5423,5478,3,2017-02-17,2017-03-01
5432,5476,3,2017-02-17,2017-03-01
5436,5484,3,2017-02-17,2017-03-01
5464,5478,3,2017-02-17,2017-03-01
5476,5494,3,2017-02-17,2017-03-01
47,2323,3,2017-01-10,2017-02-27
58,435,3,2017-01-22,2017-02-15
134,173,3,2017-01-01,2017-02-06
154,4569,3,2017-02-02,2017-02-27
210,211,3,2017-01-01,2017-01-17
215,2576,4,2017-01-21,2017-02-03
221,244,5,2017-01-01,2017-01-31
221,263,5,2017-01-01,2017-01-31
227,242,3,2017-01-01,2017-01-17
229,254,3,2017-01-01,2017-01-17
229,271,4,2017-01-01,2017-01-21
230,294,3,2017-01-01,2017-01-17
231,493,3,2017-01-21,2017-02-02
234,280,4,2017-01-01,2017-02-01
242,275,3,2017-01-01,2017-01-17
246,3182,4,2017-01-20,2017-01-31
248,2567,4,2017-01-21,2017-02-03
271,275,3,2017-01-01,2017-01-17
275,659,3,2017-01-13,2017-01-21
276,658,4,2017-01-13,2017-01-31
290,292,4,2017-01-01,2017-01-29
292,3440,3,2017-01-23,2017-01-31
307,320,3,2017-01-01,2017-01-08
307,384,3,2017-01-01,2017-01-08
312,770,3,2017-01-08,2017-02-10
314,1581,4,2017-01-13,2017-02-03
335,352,3,2017-01-01,2017-01-08
360,747,3,2017-01-04,2017-01-12
362,366,6,2017-01-01,2017-01-17
364,724,7,2017-01-04,2017-01-31
368,3451,3,2017-01-17,2017-01-29
368,3491,4,2017-01-17,2017-01-31
372,375,3,2017-01-01,2017-01-08
374,724,6,2017-01-04,2017-01-29
376,1035,5,2017-01-03,2017-02-17
385,793,3,2017-01-04,2017-01-12
385,3779,3,2017-02-17,2017-02-27
392,727,3,2017-01-04,2017-01-12
430,3076,3,2017-01-22,2017-01-30
438,444,3,2017-01-01,2017-01-24
440,2243,3,2017-02-10,2017-02-17
446,4630,4,2017-02-04,2017-02-28
490,606,4,2017-01-21,2017-02-03
490,684,4,2017-01-21,2017-02-03
490,3901,3,2017-01-26,2017-02-28
507,550,3,2017-01-02,2017-01-20
515,595,3,2017-01-02,2017-01-20
518,542,3,2017-01-02,2017-01-20
604,682,3,2017-01-02,2017-01-17
605,684,4,2017-01-02,2017-01-21
